ord_pub,total_neto,total_con_iva,descripcion_anunciante,campania,rubro,codigo_proveedor,nombre_o_denominacion_proveedor,medio,provincia_medio,tipo_de_orden,periodo,es_canje
2018_03769,28339.2,34290.43,Secretaria de Energia,Ministerio de Energia y Mineria - Eficiencia Energetica Gas 2018 – Concientización y Hábitos,Cable,15809,EVENTOS PRODUCCIONES S A,CANAL 26,Capital Federal,DTO 852-14,may-18,si
2018_03770,15250.0,18452.5,Secretaria de Energia,Ministerio de Energia y Mineria - Eficiencia Energetica Gas 2018 – Concientización y Hábitos,Cable,13079,CM TV & PUBLICIDAD S.A.       ,CANAL MUSICAL,Capital Federal,DTO 852-14,may-18,si
2018_03767,11089.0,13417.69,Secretaria de Energia,Ministerio de Energia y Mineria - Eficiencia Energetica Gas 2018 – Concientización y Hábitos,Tv,11188,ARTE RADIOTELEVISIVO ARGENTINO S.A.,CANAL 6,Rio Negro,DA 448-09,may-18,no
2018_03774,3840.0,3840.0,Secretaria de Energia,Ministerio de Energia y Mineria - Eficiencia Energetica Gas 2018 – Concientización y Hábitos,Tv,16274,RADIOS DEL VALLE S.R.L.,CANAL 247,Neuquen,DA 448-09,may-18,no
2018_03775,23495.7,28429.8,Secretaria de Energia,Ministerio de Energia y Mineria - Eficiencia Energetica Gas 2018 – Concientización y Hábitos,Tv,11187,TELEVISION FEDERAL S.A.,CANAL 7,Neuquen,DA 448-09,may-18,no
2018_03756,31250.0,37812.5,Banco de la Nacion Argentina,Campaña Plazo Fijo - Bna,Via Publica,11221,PUBLICIDAD SARMIENTO S.A.     ,CARTEL LED,Mendoza,DA 562-10 B,may-18,no
2018_03757,31250.0,37812.5,Banco de la Nacion Argentina,Campaña Plazo Fijo - Bna,Via Publica,11221,PUBLICIDAD SARMIENTO S.A.     ,CARTEL LED,Mendoza,DA 562-10 B,may-18,no
2018_03758,15000.0,18150.0,Banco de la Nacion Argentina,Campaña Plazo Fijo - Bna,Via Publica,11221,PUBLICIDAD SARMIENTO S.A.     ,CARTEL LED,Mendoza,DA 562-10 B,may-18,no
2018_03761,31250.0,37812.5,Banco de la Nacion Argentina,Campaña Plazo Fijo - Bna,Via Publica,11221,PUBLICIDAD SARMIENTO S.A.     ,CARTEL LED,Mendoza,DA 562-10 B,may-18,no
2018_03760,175000.0,211750.0,Banco de la Nacion Argentina,Campaña Plazo Fijo - Bna,Via Publica,11215,ATACAMA S.A. DE PUBLICIDAD,CARTEL LED,Capital Federal,DA 562-10 B,may-18,no
2018_03695,23409.0,23994.23,I.N.S.S.J.P. (Pami),Pami - Vacunacion Antigripal 2018,Grafica,11066,EL POPULAR S.A.,EL POPULAR,Capital Federal,RES 617-E/2016,may-18,no
2018_03747,7670.0,9280.7,Secretaria de Energia,Ministerio de Energia y Mineria - Eficiencia Energetica Gas 2018 – Concientización y Hábitos,Tv,16960,ROTONDA ROGELIO ADRIAN,EL ECO DE TANDIL TV CABLE,Capital Federal,DA 448-09,may-18,no
2018_03748,24171.0,29246.91,Secretaria de Energia,Ministerio de Energia y Mineria - Eficiencia Energetica Gas 2018 – Concientización y Hábitos,Tv,12168,JUNIN TV S.A.,CANAL 10,Capital Federal,DA 448-09,may-18,no
2018_03749,6372.0,7710.12,Secretaria de Energia,Ministerio de Energia y Mineria - Eficiencia Energetica Gas 2018 – Concientización y Hábitos,Tv,18172,CONTENIDOS MULTIMEDIALES S.R.L,TELEJUNIN,Capital Federal,DA 448-09,may-18,no
2018_03750,10651.8,12888.68,Secretaria de Energia,Ministerio de Energia y Mineria - Eficiencia Energetica Gas 2018 – Concientización y Hábitos,Tv,11066,EL POPULAR S.A.,CANAL LOCAL,Capital Federal,DA 448-09,may-18,no
2018_03751,69172.15,83698.3,Secretaria de Energia,Ministerio de Energia y Mineria - Eficiencia Energetica Gas 2018 – Concientización y Hábitos,Tv,11187,TELEVISION FEDERAL S.A.,CANAL 8,Capital Federal,DA 448-09,may-18,no
2018_03752,11594.0,14028.74,Secretaria de Energia,Ministerio de Energia y Mineria - Eficiencia Energetica Gas 2018 – Concientización y Hábitos,Cable,11188,ARTE RADIOTELEVISIVO ARGENTINO S.A.,MAGAZINE,Capital Federal,DA 448-09,may-18,no
2018_03771,69355.0,83919.55,Secretaria de Energia,Ministerio de Energia y Mineria - Eficiencia Energetica Gas 2018 – Concientización y Hábitos,Tv,11188,ARTE RADIOTELEVISIVO ARGENTINO S.A.,CANAL 7,Capital Federal,DA 448-09,may-18,no
2018_03772,7670.0,9280.7,Secretaria de Energia,Ministerio de Energia y Mineria - Eficiencia Energetica Gas 2018 – Concientización y Hábitos,Tv,13623,J.G. REPRESENTACIONES S.A.    ,CANAL 4 BVC,Capital Federal,DA 448-09,may-18,no
2018_03773,73093.88,88443.59,Secretaria de Energia,Ministerio de Energia y Mineria - Eficiencia Energetica Gas 2018 – Concientización y Hábitos,Tv,11187,TELEVISION FEDERAL S.A.,CANAL 9,Capital Federal,DA 448-09,may-18,no
2018_03742,450000.0,544500.0,Banco de la Nacion Argentina,Campaña Plazo Fijo - Bna,Redes,17104,GOOGLE ARGENTINA S.R.L.,WWW.GOOGLE.COM.AR,Capital Federal,DA 562-10 B,may-18,no
2018_03743,450000.0,544500.0,Banco de la Nacion Argentina,Campaña Plazo Fijo - Bna,Redes,17104,GOOGLE ARGENTINA S.R.L.,YOUTUBE,Capital Federal,DA 562-10 B,may-18,no
2018_03746,100000.0,121000.0,Banco de la Nacion Argentina,Campaña Plazo Fijo - Bna,Redes,17104,GOOGLE ARGENTINA S.R.L.,WWW.GOOGLE.COM.AR,Capital Federal,DA 562-10 B,may-18,no
2018_03736,220800.0,267168.0,I.N.S.S.J.P. (Pami),Pami - Vacunacion Antigripal 2018,Via Publica,13063,CARLOS A.GIROLA &ASOCIADOS SRL,SEXTUPLES,Capital Federal,RES 617-E/2016,may-18,no
2018_03737,138000.0,166980.0,I.N.S.S.J.P. (Pami),Pami - Vacunacion Antigripal 2018,Via Publica,11217,VIACART S.A.,SEXTUPLES,Capital Federal,RES 617-E/2016,may-18,no
2018_03738,172500.0,208725.0,I.N.S.S.J.P. (Pami),Pami - Vacunacion Antigripal 2018,Via Publica,13662,PC PUBLICIDAD S.A.,CARAPANTALLAS MUNICIPALES (CPM),Capital Federal,RES 617-E/2016,may-18,no
2018_03739,172500.0,208725.0,I.N.S.S.J.P. (Pami),Pami - Vacunacion Antigripal 2018,Via Publica,11221,PUBLICIDAD SARMIENTO S.A.     ,CARAPANTALLAS MUNICIPALES (CPM),Capital Federal,RES 617-E/2016,may-18,no
2018_03710,5000.0,5000.0,I.N.S.S.J.P. (Pami),Pami - Vacunacion Antigripal 2018,Radio,11146,RADIODIFUSORA DEL CENTRO S.A. ,CADENA 3 RIO GALLEGOS,Capital Federal,RES 617-E/2016,may-18,no
2018_03659,321177.6,388624.9,Banco de la Nacion Argentina,Campaña Plazo Fijo - Bna,Grafica,11112,S.A. LA NACION                ,LA NACION,Capital Federal,DA 562-10 B,may-18,no
2018_03660,309133.44,374051.46,Banco de la Nacion Argentina,Campaña Plazo Fijo - Bna,Grafica,11112,S.A. LA NACION                ,LA NACION,Capital Federal,DA 562-10 B,may-18,no
2018_03670,341496.0,413210.16,Banco de la Nacion Argentina,Campaña Plazo Fijo - Bna,Web,11112,S.A. LA NACION                ,LANACION.COM.AR,Capital Federal,DA 562-10 B,may-18,no
2018_03722,16000.0,19360.0,Banco de la Nacion Argentina,Campaña Plazo Fijo - Bna,Radio,13623,J.G. REPRESENTACIONES S.A.    ,AM 1020,Capital Federal,DA 562-10 B,may-18,no
2018_03725,16500.0,19965.0,Banco de la Nacion Argentina,Campaña Plazo Fijo - Bna,Radio,11150,GOMEZ JORGE FELIX,AM 900 LT7 RADIO PROVINCIA,Capital Federal,DA 562-10 B,may-18,no
2018_03726,17500.0,17500.0,Banco de la Nacion Argentina,Campaña Plazo Fijo - Bna,Radio,11527,PAMPA DIFUSORA S.R.L.,AM 980 LU 37 Radio Gral. Pico,Capital Federal,DA 562-10 B,may-18,no
2018_03727,12500.0,15125.0,Banco de la Nacion Argentina,Campaña Plazo Fijo - Bna,Radio,14781,MAP LEADING S.R.L.,AM 580 - RADIO ANDINA,Capital Federal,DA 562-10 B,may-18,no
2018_03715,10133.06,12261.0,Banco de la Nacion Argentina,Campaña Plazo Fijo - Bna,Radio,11139,RADIO MITRE S.A.,FM MITRE 99.5,Capital Federal,DA 562-10 B,may-18,no
2018_03724,14000.0,16940.0,Banco de la Nacion Argentina,Campaña Plazo Fijo - Bna,Radio,11814,VOCACION S.R.L.,LU 15 RADIO VIEDMA 800,Capital Federal,DA 562-10 B,may-18,no
2018_03728,8415.0,10182.15,Banco de la Nacion Argentina,Campaña Plazo Fijo - Bna,Radio,16578,RADIO Y TELEVISION ARGENT. SE ,AM 630 LU 4 RADIO PATAGONIA,Chubut,DA 562-10 B,may-18,no
2018_03713,10500.0,12705.0,Banco de la Nacion Argentina,Campaña Plazo Fijo - Bna,Radio,13623,J.G. REPRESENTACIONES S.A.    ,FM PROFESIONAL,Salta,DA 562-10 B,may-18,no
2018_03714,33500.0,40535.0,Banco de la Nacion Argentina,Campaña Plazo Fijo - Bna,Radio,11293,RADIODIFUSORA SALTA S.A.      ,AM 840 LV 9 RADIO SALTA,Salta,DA 562-10 B,may-18,no
2018_03716,6000.0,7260.0,Banco de la Nacion Argentina,Campaña Plazo Fijo - Bna,Radio,16578,RADIO Y TELEVISION ARGENT. SE ,LRA 15,Tucuman,DA 562-10 B,may-18,no
2018_03717,5000.0,6050.0,Banco de la Nacion Argentina,Campaña Plazo Fijo - Bna,Radio,16578,RADIO Y TELEVISION ARGENT. SE ,AM 620 LRA 26,Chaco,DA 562-10 B,may-18,no
2018_03661,318890.25,385857.2,Banco de la Nacion Argentina,Campaña Plazo Fijo - Bna,Grafica,14135,SELENE PUBLICIDAD S.A.,EL CRONISTA COMERCIAL,Capital Federal,DA 562-10 B,may-18,no
2018_03665,182867.25,202068.31,Banco de la Nacion Argentina,Campaña Plazo Fijo - Bna,Grafica,11044,EDITORIAL LA CAPITAL S.A.,LA PRENSA,Buenos Aires,DA 562-10 B,may-18,no
2018_03719,29900.0,36179.0,Banco de la Nacion Argentina,Campaña Plazo Fijo - Bna,Radio,13223,BONITA S.R.L.,FM 97.3 RADIO BOING,Santa Fe,DA 562-10 B,may-18,no
2018_03720,76000.0,91960.0,Banco de la Nacion Argentina,Campaña Plazo Fijo - Bna,Radio,11396,TELEVISION LITORAL S.A.,AM 1230 LT 2,Santa Fe,DA 562-10 B,may-18,no
2018_03723,37500.0,45375.0,Banco de la Nacion Argentina,Campaña Plazo Fijo - Bna,Radio,12097,FRECUENCIA PROD.PUBLICIT. S.A.,FM 104.1 MIA,Córdoba,DA 562-10 B,may-18,no
