orden_publica,total,descripcion_anunciante,campania,rubro,nombre_o_denominacion_proveedor,medio,tipo_de_orden,periodo
2016_03859,10541.52,I.N.S.S.J.P. (Pami),Campaña Vacunacion - Pami,Radio,Multimedios Sapem,AM 620 / FM 107.3 - LT 17 RADIO PROVINCIA,DA 448-09,2016-05-01
2016_05581,10596.56,Presidencia de la Nacion,Campaña Juntos - Presidencia de la Nacion,Radio,Mediamax S.A.,FM 106.7,DA 448-09,2016-05-01
2016_03862,10630.16,I.N.S.S.J.P. (Pami),Campaña Vacunacion - Pami,Radio,Radiodifusora Independencia S.R.L.,AM 590 LV12 RADIO INDEPENDENCIA,DA 448-09,2016-05-01
2016_05731,10735.73,Presidencia de la Nacion,Campaña Juntos - Presidencia de la Nacion,Radio,Grupo Mc Medios S.A.,AM 640 LU18 RADIO DEL VALLE,DA 448-09,2016-05-01
2016_05591,10745.16,Presidencia de la Nacion,Campaña Juntos - Presidencia de la Nacion,Radio,Empresa Periodist. Grafis Srl,FM 93.3 LA 93,DA 448-09,2016-05-01
2016_05395,10829.5,Presidencia de la Nacion,Campaña Juntos - Presidencia de la Nacion,Tv,Praxis S.R.L.,EL ECO DE TANDIL TV CABLE,DA 448-09,2016-05-01
2016_05260,10890.0,Presidencia de la Nacion,Campaña Juntos - Presidencia de la Nacion,Grafica,Todo Es Historia S.A.,TODO ES HISTORIA,DA 448-09,2016-05-01
2016_05938,11035.2,Presidencia de la Nacion,Campaña Juntos - Presidencia de la Nacion,Tv,Qm Noticias S.A.,QM NOTICIAS,DA 448-09,2016-05-01
2016_05593,11062.43,Presidencia de la Nacion,Campaña Juntos - Presidencia de la Nacion,Radio,Emprend. Public. Bonaeren. S.A,FM 92.1,DA 448-09,2016-05-01
2016_05074,11140.47,Presidencia de la Nacion,Campaña Precios Cuidados - Presidencia de la Nacion,Radio,Praxis S.R.L.,FM 106.9 LA VOZ DE TANDIL,DA 448-09,2016-05-01
2016_03851,11180.4,I.N.S.S.J.P. (Pami),Campaña Vacunacion - Pami,Radio,Gomez Jorge Felix,AM 900 LT7 RADIO PROVINCIA,DA 448-09,2016-05-01
2016_05276,11231.22,Presidencia de la Nacion,Campaña Juntos - Presidencia de la Nacion,Cable,J.G. Representaciones S.A.,CANAL 7,DA 448-09,2016-05-01
2016_05073,11290.51,Presidencia de la Nacion,Campaña Precios Cuidados - Presidencia de la Nacion,Radio,Difusora Austral S.A.,AM 670,DA 448-09,2016-05-01
2016_04495,11305.27,Ministerio de Salud,Legal Mayo,Grafica,Editorial la Pagina S.A.,PAGINA 12,DA 448-09,2016-05-01
2016_05652,11470.8,Presidencia de la Nacion,Campaña Juntos - Presidencia de la Nacion,Radio,Trab.Emis.Pampeana Coop.Ltda.,AM 890 LU 33 Emisora Pampeana,DA 448-09,2016-05-01
2016_05071,11780.0,Presidencia de la Nacion,Campaña Precios Cuidados - Presidencia de la Nacion,Radio,Tv y Fm las Brisas S.R.L.,FM 98.5 RADIO BRISAS,DA 448-09,2016-05-01
2016_05431,11872.58,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Legales Mayo,Grafica,Bae Negocios S.A.,BAE,DA 562-10,2016-05-01
2016_04733,12034.01,Ministerio de Justicia y Derechos Humanos,Legal Mayo,Grafica,Editorial Sarmiento S.A.,CRONICA,DTO 1145-09,2016-05-01
2016_05611,12087.0,Presidencia de la Nacion,Campaña Juntos - Presidencia de la Nacion,Radio,Gomez Ramon Ricardo,VALLE VIEJO,DA 448-09,2016-05-01
2016_05503,12100.0,Presidencia de la Nacion,Campaña Precios Cuidados - Presidencia de la Nacion,Web,Amacom Media S.R.L.,WWW.ELCOMERCIAL.COM.AR,DA 448-09,2016-05-01
2016_04670,12100.0,Presidencia de la Nacion,Campaña Juntos - Presidencia de la Nacion,Via Publica,Publicar S.A.,MEDIANERA,DA 448-09,2016-05-01
2016_04347,12100.0,Banco de la Nacion Argentina,Campaña Institucional del B.N.A. - B.N.A.,Web,Compañia de Ramos Generales S.R.L.,WWW.LEVIATHAN.COM.AR,DA 562-10,2016-05-01
2016_04538,12100.0,I.N.S.S.J.P. (Pami),Campaña Institucional Vacunacion Antigripal 2016 - Pami,Radio,Dak Grupo Creativo S.R.L.,FM 90.3 DELTA,DA 448-09,2016-05-01
2016_04542,12100.0,I.N.S.S.J.P. (Pami),Campaña Institucional Vacunacion Antigripal 2016 - Pami,Radio,Dak Grupo Creativo S.R.L.,FM 90.3 DELTA,DA 448-09,2016-05-01
2016_04543,12100.0,I.N.S.S.J.P. (Pami),Campaña Institucional Vacunacion Antigripal 2016 - Pami,Radio,Dak Grupo Creativo S.R.L.,FM 90.3 DELTA,DA 448-09,2016-05-01
2016_04480,12100.0,I.N.S.S.J.P. (Pami),Campaña Institucional Vacunacion Antigripal 2016 - Pami,Web,Bayres Publicidad S.A.,WWW.LATECLA.INFO,DA 448-09,2016-05-01
