ord_pub,total_neto,total_con_iva,descripcion_anunciante,campania,rubro,no_proveedor,nombre_o_denominacion_proveedor,medio,provincia_medio,tipo_de_orden,periodo
2016_10756,3060.00,3702.60,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,13623,J.G. REPRESENTACIONES S.A.,FM 97.3 LIGHT,San Juan,DA 448-09,jul-16
2016_10757,6008.00,7269.68,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,13671,ANDINA S.A.,FM 98.9 MEGA SAN JUAN,San Juan,DA 448-09,jul-16
2016_10759,3200.00,3872.00,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,15515,SENTIDOS S.A.,ANTENA 1,San Juan,DA 448-09,jul-16
2016_10754,5783.40,6997.91,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,16996,CEREBRO S.R.L.,FM 98.5 Popular,San Luis,DA 448-09,jul-16
2016_10755,2400.00,2904.00,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,13902,MEDIAMAX S.A.,FM DEL PLATA SATELITAL 93.7,San Luis,DA 448-09,jul-16
2016_10748,116739.77,128997.45,Presidencia de la Nacion,Presidencia de la Nacion - Pymes,Grafica,11117,EL CRONISTA COMERCIAL S.A.,EL CRONISTA COMERCIAL,Capital Federal,DA 448-09,jul-16
2016_10536,450000.00,544500.00,Presidencia de la Nacion,Campaña Super 4 - Presidencia de la Nacion,Tv,11188,ARTE RADIOTELEVISIVO ARGENTINO S.A.,CANAL 13,Capital Federal,DA 448-09,jul-16
2016_10547,240250.00,290702.50,Presidencia de la Nacion,Campaña Juntos - Presidencia de la Nacion,Via Publica,15058,E.A. CARNEVALE Y CIA S.A.,COLUMNA,,DA 448-09,jul-16
2016_10619,168412.61,203779.26,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Grafica,11508,DIARIO LOS ANDES HNOS CALLE SA,LOS ANDES,Mendoza,DA 448-09,jul-16
2016_10738,1400.00,1400.00,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,14743,RTV PRODUCCIONES S.R.L.,FM 89.1 BARILOCHE,Rio Negro,DA 448-09,jul-16
2016_10739,6300.00,6300.00,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,11080,XHARDEZ Y COZZI S.R.L.,AM 640 LU18 RADIO DEL VALLE,Rio Negro,DA 448-09,jul-16
2016_10735,193450.02,234074.52,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Legal Julio,Grafica,11112,S.A. LA NACION,LA NACION,Capital Federal,DA 562-10,jul-16
2016_10736,221085.73,267513.73,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Legal Julio,Grafica,11112,S.A. LA NACION,LA NACION,Capital Federal,DA 562-10,jul-16
2016_10737,524218.80,634304.75,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Legal Julio,Grafica,15398,ARTE GRAFICO EDITORIAL ARG. SA,CLARIN,Capital Federal,DA 562-10,jul-16
2016_10744,7093.08,8582.63,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,11038,SRT SERV R Y TV UNIV N CDBA SA,AM 580 RADIO UNIVERSIDAD,Cordoba,DTO 852-14,jul-16
